network,station,east_channel,north_channel,vertical_channel,location,latitude,longitude,elevation
UU,ALT,ENE,ENN,ENZ,01,40.59028,-111.6375,2635.0
UU,ASU4,ENE,ENN,ENZ,01,40.753489,-112.078216,1284.0
UU,ASU5,ENE,ENN,ENZ,01,40.808332,-112.090636,1289.0
UU,ASU6,ENE,ENN,ENZ,01,40.715740000000004,-112.147181,1432.0
UU,CAPU,ENE,ENN,ENZ,01,40.77845,-111.889967,1384.0
UU,CFS,ENE,ENN,ENZ,01,40.5657,-112.0935,1654.0
UU,CHS,ENE,ENN,ENZ,01,40.59472,-112.01722,1460.0
UU,COY,ENE,ENN,ENZ,01,40.65933,-112.23899999999999,1572.0
UU,CTU,HHE,HHN,HHZ,01,40.6925,-111.75034,1731.0
UU,CTU,ENE,ENN,ENZ,01,40.6925,-111.75034,1731.0
UU,DOT,ENE,ENN,ENZ,01,40.72667,-111.96083,1292.0
UU,EOCU,ENE,ENN,ENZ,01,40.777,-111.8991,1356.0
UU,FTT,ENE,ENN,ENZ,01,40.68611,-112.08333999999999,1381.0
UU,GMU,EHE,EHN,EHZ,01,40.5755,-111.76317,1829.0
UU,HRU,ENE,ENN,ENZ,01,40.7945,-111.88566999999999,1620.0
UU,ICF,ENE,ENN,ENZ,01,40.778,-112.0281,1281.0
UU,JRP,ENE,ENN,ENZ,01,40.8256,-111.9443,1284.0
UU,LCU,ENE,ENN,ENZ,01,40.5735,-111.7985,1571.0
UU,LGC,ENE,ENN,ENZ,01,40.9006,-111.9085,1292.0
UU,LKC,ENE,ENN,ENZ,01,40.72695,-112.03588,1289.0
UU,MHD,ENE,ENN,ENZ,01,40.66067,-111.80083,1597.0
UU,MID,ENE,ENN,ENZ,01,40.51733,-112.25466999999999,1722.0
UU,MID,HHE,HHN,HHZ,01,40.51733,-112.25466999999999,1722.0
UU,NAI,ENE,ENN,ENZ,01,41.01617,-112.228,1472.0
UU,NOQ,HHE,HHN,HHZ,01,40.6525,-112.12033000000001,1622.0
UU,NOQ,ENE,ENN,ENZ,01,40.6525,-112.12033000000001,1622.0
UU,OSS,ENE,ENN,ENZ,01,40.5653,-112.0288,1517.0
UU,PGC,ENE,ENN,ENZ,01,40.37863,-111.71023999999998,1707.0
UU,RBU,ENE,ENN,ENZ,01,40.78083,-111.80833,1676.0
UU,RPF,ENE,ENN,ENZ,01,40.775315,-111.92025600000001,1287.0
UU,SAIU,ENE,ENN,ENZ,01,40.85483,-112.1815,1384.0
UU,SCC,ENE,ENN,ENZ,01,40.67487,-111.9395,1306.0
UU,SNUT,ENE,ENN,ENZ,01,40.885670000000005,-112.509,1652.0
UU,TCMU,ENE,ENN,ENZ,01,40.4377,-111.7118,2045.0
GS,UT01,HH2,HH1,HHZ,00,40.65933,-112.23899999999999,1572.0
GS,UT02,HH2,HH1,HHZ,00,40.69749,-112.61023999999999,1400.0
UU,VEC,ENE,ENN,ENZ,01,40.65348,-112.03251999999999,1480.0
UU,WBC,ENE,ENN,ENZ,01,41.1397,-111.9008,1602.0
UU,WRP,ENE,ENN,ENZ,01,40.81361,-111.93111,1288.0
UU,WTU,EHE,EHN,EHZ,01,40.45483,-111.9535,1552.0
UU,WTU,ENE,ENN,ENZ,01,40.45483,-111.9535,1552.0
